iso,year,CONTROL_CORRUPTION,CREDIT_PRIVATE,CURRENT_ACCOUNT,DEPENDENCY_RATIO,ELECTRICITY,EXCHANGE_RATE,EXPORT_GROWTH,FDI,GDP_GROWTH,GDP_PC_PPP,GOV_EFFECTIVENESS,GROSS_SAVINGS,HIGH_TECH_EXPORTS,IMPORT_GROWTH,INFLATION,INVESTMENT,LIFE_EXPECTANCY,MANUF_VA,POLITICAL_STABILITY,POPULATION,REAL_INTEREST,REG_QUALITY,RESERVES_MONTHS,REVENUE_EX_GRANTS,RND,RULE_OF_LAW,SCHOOLING_SEC,TAX_REVENUE,TERMS_OF_TRADE,TRADE_OPENNESS,UNEMPLOYMENT,URBAN_SHARE,WORLD_GROWTH,WORLD_EXPORT_GROWTH,WORLD_INFLATION,ctfp,hc,rkna,emp,pop,cgdpo,rgdpo,rgdpna,labsh
BGD,1990,,16.0740991530445,-1.2592736415871,85.9247940838611,,34.5688083333333,17.7864276290348,0.0102498457488283,5.62225816160344,2069.78230100672,,23.0244118634705,,9.31270816857919,6.12671846981458,16.4586755151535,55.822,13.2392185487661,,111633717.0,7.80321557561629,,1.91198264759593,,,,19.8893508911133,,,18.9665020125385,,19.8635088474054,2.70835661034906,5.27155007050217,8.06346090938833,,1.4628063440322876,,32.1478157043457,103.171956,165009.890625,157995.671875,151626.203125,
BGD,1991,,15.9199092838791,0.208651431216537,84.324547486233,14.29,36.5961833333333,-3.09154816606501,0.00449146424413688,3.48522781598027,2101.38366035658,,22.5604059246532,,-15.017444093523,6.35736412278234,16.8959474633294,53.781,13.9871226949763,,113787109.0,11.7189873524357,,3.98697845284493,,,,,,,18.8898268850747,2.2,20.2666857869933,1.22518126757618,2.92537855288582,8.99693873494331,,1.4807424545288086,,32.12558364868164,105.599127,171660.4375,164056.921875,156781.21875,
BGD,1992,,14.5455434030437,0.570158867838373,82.6662303344695,9.90541934967041,38.9507583333333,21.8455918951427,0.0117375764038404,5.44268554966725,2174.38232866943,,21.9940038300746,,-8.79066343654085,3.63407691798491,17.3050292766937,56.592,14.3974636880063,,115952192.0,11.0503571312982,,5.16226710857486,,,,,,,19.9340055024511,2.233,20.6483331421589,2.06322489260802,3.36115645327708,7.63610852336974,,1.4988986253738403,,33.067626953125,107.98370399999999,176196.640625,168774.828125,163408.828125,
BGD,1993,,15.2943169244381,1.08321175697211,80.9683342071102,12.7178802490234,39.5672575,16.3929160445683,0.0423616549795556,4.71156172453999,2234.8101219225,,20.901202135505,,37.4189061616421,3.01481859989799,17.9468320109013,57.073,15.4125383554188,,118132360.0,13.7409692658164,,6.16106193397944,,,,,,,23.1215830698982,2.31,21.002845267132,1.85802699127092,3.56355749103992,7.14458706876257,,1.5172773599624634,,34.0443229675293,110.350639,180718.46875,173082.34375,170884.3125,
BGD,1994,,16.2711918310691,0.590988260289113,79.1811023453225,17.8,40.2117391666667,3.67836910255987,0.033012230974896,3.89012644116818,2279.09435302944,,22.4171600592845,,-6.11108228003351,5.31374007936498,18.402556188374,57.64,15.8694546558521,,120343179.0,9.12576468789758,,6.84678620368459,,,,,,,22.8658645545703,2.37,21.3383159101032,3.41622758531712,8.90351962923714,10.2479355556119,,1.5358814001083374,,35.08266067504883,112.73768299999999,189255.765625,181230.296875,177864.40625,
BGD,1995,,20.8817607372616,-2.17154889891301,77.3180471753385,18.3380451202393,40.2783183333333,30.7241067856765,0.00499837818821925,5.12127789724337,2351.70387946903,,22.1461544905179,,48.396395240214,10.2978117947206,19.1197958221399,58.244,15.9000068464472,,122600370.0,5.45528455877529,,3.66017664054907,,,,,,,28.2094960764218,2.441,21.661231550566,3.17807321635462,9.01297366456417,9.07738095238091,,1.5547136068344116,,36.174591064453125,115.16993,198531.4375,189809.140625,186624.15625,
BGD,1996,-0.872089599999999,18.9119975738864,-2.13490813503246,75.3994031467334,21.1443862915039,41.7941683333333,8.07539454190645,0.0291349551912919,4.52291921684423,2413.54298201505,-0.81117,23.1387940832004,,14.1095606173889,2.37712902953223,20.7299506037379,58.94,14.0026451377167,-0.7319877,124862179.0,-5.16455193045819,-1.1594086,2.93493311214598,,,-0.9202554,,,,26.0760877233809,2.51,21.9780786680138,3.58623401800118,6.43102237277841,6.52609569372579,,1.5713872909545898,,37.224483489990234,117.64993199999999,203890.125,195331.859375,195250.078125,
BGD,1997,,19.9866312756307,-0.593464718148691,73.5489308582297,22.4,43.8921158333333,14.31777893297,0.288896567530213,4.4898964976265,2475.59574602489,,24.397478698652,,3.04121615815572,5.30560105668802,21.8162145054057,59.671,14.1197806636013,,127198069.0,8.8533210419986,,2.40641918586197,,,,,,,26.3255133900833,2.698,22.2953437419401,3.99678915639295,9.47428529362406,5.55412988949405,,1.5882396697998047,,38.27732849121094,120.160564,203096.484375,195050.046875,205769.515625,
BGD,1998,-0.8733555,20.4966379485471,-0.0703537046583937,71.8615027523664,26.7461929321289,46.9056516666666,12.2675487636774,0.380236166897954,5.1770268731498,2555.06119218282,-0.5448568,25.8340547261519,,4.47097065108491,8.40223795613228,22.1214128239602,60.429,14.8598311637206,-0.659666099999999,129622332.0,7.8256481093584,-1.1507752,2.84708895657642,,,-0.923208399999999,41.9298782348633,,,27.8800634028394,2.893,22.6195132518384,2.78125282205437,4.5071475292704,5.09729149331442,,1.605272889137268,,39.35983657836914,122.68281499999999,200702.0,193522.0,216526.078125,
BGD,1999,,20.9872341323173,-0.710651968609124,70.313705784649,29.5402145385742,49.0854,2.25068922506115,0.350304290993083,4.67015636882111,2624.06553797638,,26.6599568153793,,2.3055777870906,6.10669589841958,22.7213703034657,61.244,14.3890950793257,,132108065.0,8.97864304812784,,2.1339501450385,,,,45.0674591064453,,,28.3879405571158,3.088,22.957073677202,3.57856819120765,5.32456715779929,3.04194667094533,,1.6224887371063232,,40.44169998168945,125.189651,194641.09375,187660.25,227069.015625,
BGD,2000,-1.1399628,21.7793890133235,-0.57304266329964,68.8735107703625,32.0,52.1416666666667,14.3981567286245,0.525362089236087,5.29329471892532,2712.93512215725,-0.8710785,27.7974576904575,,10.233924594639,2.20825620937535,23.8085625731369,62.049,14.035315753916,-0.812562999999999,134544304.0,8.99820323770434,-1.19036229999999,1.81568793543262,,,-1.1178221,46.7210006713867,,,29.3217143619038,3.27,23.3145114975244,4.56720186018067,11.7816277096899,3.43351563418764,,1.6398893594741821,,41.53954315185547,127.657854,201182.203125,194071.1875,240567.828125,
BGD,2001,,24.179592705355,-0.991687231894649,67.829792240324,35.0,55.8066666666667,14.9038896404931,0.145443904569924,5.07728777526728,2803.55471950946,,28.4222904329444,,12.8486289208702,2.0071737421384,24.1743067306933,62.836,14.1783570229665,,136805810.0,9.25695571842855,,1.56412229383146,8.55508912359227,,,48.4609718322754,6.61116027143823,,32.0980170730117,3.609,23.6999214768623,2.02994447591411,0.665655850400682,3.83657262052543,,1.661909580230713,,42.479740142822266,130.08870199999998,207362.09375,199795.34375,253254.34375,
BGD,2002,-1.44931989999999,26.2081249737496,1.35086830489484,67.1451832030454,37.8,57.888,-0.164097458962203,0.0955793676464671,3.83312393993225,2866.43454328715,-0.8543124,30.7491764310818,,-4.84742393033319,3.33256493271913,24.3414161366729,63.591,14.3174375493986,-1.2449478,138933658.0,8.38969935744542,-1.122179,2.1882157411816,8.87465110773691,,-1.123872,49.6199493408203,6.69138419067813,,28.9673807211649,3.966,24.1132383547332,2.31891535273219,2.75388195938507,2.90799688587762,,1.6842255592346191,,43.40302658081055,132.478086,218985.71875,210411.375,264436.90625,
BGD,2003,-1.46307949999999,26.0386276764885,0.218816448007947,66.5127410987043,40.5,58.15004,-1.6963855741251,0.44596078329809,4.73956739963045,2958.91503115633,-1.0668967,30.164596698861,,8.54954834783177,5.66870773441476,24.6791888612834,64.288,14.1454615609431,-1.2322975,140970351.0,5.88445428042499,-1.0667105,2.7552144985094,8.71578966709367,,-1.1776115,49.5259017944336,6.96521390375867,,27.657884900158,4.32,24.5525557512625,3.07416318395302,4.25941501920559,3.02504526252236,,1.7068411111831665,,44.32400131225586,134.79160299999998,225002.546875,216588.25,278335.71875,
BGD,2004,-1.5156931,27.9134032883374,-0.428022753319865,65.873127608104,40.6,59.5126583333333,85.6133120879459,0.689472335587339,5.23953291029852,3071.83778764611,-0.906057,31.5774006681766,,84.749487253795,7.5875363850469,24.9918339447004,64.912,14.44207318664,-1.3285917,142902856.0,5.5823556108085,-1.11731469999999,2.87524327591524,8.65675173626511,,-1.036981,46.3084297180176,7.04644841818552,,26.8582341492431,4.316,25.0094809886101,4.49537859755031,10.211060301273,3.51799903099596,,1.724663496017456,,45.31759262084961,136.986432,230184.640625,222153.359375,295788.78125,
BGD,2005,-1.4632376,29.3438304968623,-0.250074173604547,65.1910648619481,44.2,64.327475,43.0012670590693,1.17065167448603,6.53594493875502,3231.61370692891,-0.894647,32.3594072568242,,38.0627867648744,7.04661816222039,25.8304355145863,65.509,14.743998758061,-1.7911255,144715786.0,5.76426911966502,-0.9816339,2.17086234945188,8.9489913342907,,-0.9517502,45.1695098876953,7.13567003946154,108.9,34.396934864465,4.25,25.4769540701509,4.0591513939051,6.97010195405532,4.10725070715931,,1.742090106010437,,46.27964401245117,139.035505,242146.8125,231691.15625,313404.5,
BGD,2006,-1.42990779999999,31.1657016961389,1.66592495150091,64.524039740509,50.5,68.9332333333333,25.4763097869182,0.635863899506714,6.67190498576788,3407.4273502159,-0.943966099999999,35.341190936004,,18.1904487299505,6.76526117054757,26.1441457474299,66.048,15.3075621798679,-1.6643404,146405973.0,5.46699380857845,-0.8740542,2.61353230400139,8.77841193665516,,-1.01092999999999,45.7007904052734,7.04330405780911,101.2,38.1119244325921,3.591,25.9479149992596,4.48913510541222,8.49180561935788,4.26717463390264,,1.7676010131835938,,47.35792922973633,140.921167,263244.25,252800.78125,334181.125,
BGD,2007,-1.1475412,32.0428330535648,1.07621521358966,63.9122837398699,46.5,68.874875,12.9756030786478,0.817756922700044,7.05859935449848,3608.91543819399,-0.8728241,36.3174625843949,,15.986035135704,9.10698496905383,26.1784970672047,66.458,15.9340729924007,-1.5675758,147989278.0,5.7891114361705,-0.8672299,3.04979272256787,8.81075448022252,,-0.8842511,46.4658813476562,6.91726266856821,93.1,39.9423826531735,4.015,26.415303779311,4.43123376835285,6.65749601979584,4.81023704342912,,1.7934856414794922,,48.95321273803711,142.66037599999999,292450.40625,282226.40625,357769.59375,
BGD,2008,-0.948405699999999,34.0421917464818,1.01071124669571,63.3356883947747,54.3,68.598275,7.0806092875215,1.4496579161576,6.01378975738535,3787.9382761855,-0.844899,37.3818777967604,0.435480466968654,-1.90123251892078,8.90194489465154,26.2022714003991,67.047,16.124366972693,-1.476262,149474264.0,4.66174256991606,-0.8632719,2.63271435761636,9.51289063059205,,-0.829873299999999,44.5729598999023,7.65602988282474,81.7,42.6209140325589,4.49,26.87206041368,2.0916044806491,2.97004947697062,8.94995335353387,,1.8197492361068726,,50.47563552856445,144.304167,326605.15625,316497.03125,379285.0625,
BGD,2009,-0.9111494,36.1910375652522,3.47023264645131,62.7031938906288,57.1,69.0390666666667,0.028504479725882,0.879517142536145,5.04512479919337,3942.13631207203,-0.8145983,38.97639391672,0.306260590781621,-2.59965497379862,5.42347236174679,26.2060570157536,67.527,16.4801860604835,-1.51053059999999,150873714.0,6.14653833234919,-0.805300999999999,5.06373130169223,9.64307267713728,,-0.8215673,48.1255798339844,7.49811626276927,91.4,40.092796223023,5.0,27.3111249057412,-1.33303814192499,-9.59622731679175,2.86044855902674,,1.8463975191116333,,51.794586181640625,145.92479699999998,353219.75,343453.96875,398420.5,
BGD,2010,-1.0218466,40.9613226292342,1.82909794723498,61.9686828582303,55.3,69.6492916666667,0.941532178257205,1.06896766308322,5.57178818533122,4125.46390163202,-0.807076799999999,38.7817739319855,0.213025597821188,0.686454981140216,8.12667639169917,26.2466561760577,68.009,16.1212283592006,-1.4437712,152201981.0,4.73612356896116,-0.8368896,4.32087922221628,9.74382934646306,,-0.8477644,49.5031106793162,7.83468474946733,81.0,37.8028426708321,3.379,27.7254372588696,4.52085213873784,11.8470983952319,3.32634463368643,,1.8734359741210938,,54.435997009277344,147.57542999999998,401206.59375,391172.8125,420619.6875,
BGD,2011,-1.0523775,42.4702411629772,-0.125842241657654,61.0979549461299,59.6,74.1524,29.3391247520474,0.983399364184761,6.46437912497728,4352.42643359325,-0.8372577,38.059489785547,0.19506469565516,29.1529647014969,11.3951651552399,27.4209733686034,68.499,15.9967342498947,-1.4544464,153591076.0,5.06419768574573,-0.8270946,2.78355229779506,10.4626574311705,,-0.6998395,49.7515496494472,8.68592470557816,76.8,47.4208498356898,3.737,28.1100162712427,3.31431839310667,5.51788947035175,4.80063594169405,,1.8975311517715454,,56.097381591796875,149.273139,462460.5,452299.84375,447810.1875,
BGD,2012,-1.12133289999999,43.0006693750914,1.93195276968292,60.0398362395264,65.5,81.8626583333333,12.5322586852075,1.18850391920183,6.52145877906443,4592.04840919812,-0.7988014,40.5995794494189,0.463362848345637,10.5185591702304,6.21750422069284,28.2623350097187,68.989,15.9142206710142,-1.4690337,155070101.0,5.34333265873128,-0.978781999999999,3.85125480802239,11.1452302743835,,-0.9887756,51.6718482971191,9.02456269019499,86.7,48.1109227490467,4.07,28.4787972894576,2.74743359443485,2.74285501350239,3.72532666110646,,1.921936273574829,,57.75124740600586,151.005739,479084.59375,470216.21875,477013.875,
