iso,scenario,label,year,h,p05,p25,p50,p75,p95,P_ge_50,P_ge_60
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2024,0,21.33,21.33,21.33,21.33,21.33,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2025,1,21.07,21.9,22.44,22.92,23.57,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2026,2,21.57,22.77,23.45,24.08,24.9,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2027,3,22.24,23.62,24.36,25.07,26.03,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2028,4,22.94,24.44,25.25,26.03,27.07,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2029,5,23.69,25.2,26.1,26.92,28.04,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2030,6,24.4,25.97,26.93,27.78,28.95,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2031,7,25.05,26.68,27.72,28.59,29.8,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2032,8,25.73,27.43,28.46,29.35,30.64,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2033,9,26.41,28.13,29.16,30.09,31.38,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2034,10,27.17,28.76,29.83,30.82,32.13,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2035,11,27.82,29.45,30.51,31.5,32.81,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2036,12,28.4,30.12,31.18,32.18,33.57,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2037,13,29.07,30.76,31.85,32.88,34.21,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2038,14,29.6,31.35,32.42,33.42,34.85,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2039,15,30.17,31.89,32.98,33.99,35.45,0.0,0.0
BGD,Baseline_Status_Quo,Status Quo (Inertial Base),2040,16,30.68,32.42,33.52,34.56,36.02,0.0,0.0
