regime,NCD-LP,ar1_fe,country_mean,pooled_mean,random_walk,rw_drift
Crisis_Shock,5.823,5.881,6.001,6.547,5.96,5.885
Tranquil_Normal,1.888,1.924,1.942,2.68,2.43,2.835
