origin,iso,h,y,mu,sigma,sq,crps,ls,pit
2001,BGD,1,3.83312393993225,4.538774643506127,0.6198651952279277,0.49794291545430736,0.43473774113275876,1.088655519101644,0.12747803804263902
2001,CHN,1,9.23604870383861,10.050977152714829,1.7363278412548702,0.6641083767877988,0.5556175285543862,1.5808510899289854,0.3194132441081052
2001,DEU,1,-0.228255715793637,1.6022480964974106,0.9902114570214067,3.3507442068120588,1.2968296936593682,2.617760717906631,0.03225787567877145
2001,FRA,1,1.06775027069419,1.854607292865432,1.3822015785545303,0.6191439733401946,0.49704181550922666,1.4046548582079288,0.28458372951187094
2001,GBR,1,1.70902736258567,2.6205398592543565,1.3197621677746338,0.8308550315831822,0.5500484949279323,1.4348986040049025,0.24488829249079624
2001,IDN,1,4.49947539085764,3.605125326931779,5.974789529381757,0.7998620368441913,1.4495863398088324,2.717690547861913,0.5594943325706525
2001,IND,1,3.80397532120038,5.37527030874292,2.0108861543640857,2.46896793787631,0.9362754350123506,1.9228025603055061,0.21728531001988055
2001,JPN,1,0.0849888050363319,0.6607295177290354,1.5901897290914921,0.3314773682519022,0.45388279657413333,1.4483348208809077,0.3586543913344764
2001,KOR,1,7.74399895319569,6.711698341758826,4.667969353909978,1.0656445523729232,1.181585637876584,2.48411535777209,0.5875104445914269
2001,MYS,1,5.39098830692797,6.105088774000694,5.771285383227657,0.5099394770734823,1.3839252613010276,2.679488329768648,0.45076320303065454
2001,NLD,1,0.24582951723049,2.897610262760101,1.3420318859861688,7.031941122361579,1.9189214149171965,3.165301991320918,0.024080522355396622
2001,PHL,1,3.71625500158383,2.686526898849209,1.852359219777195,1.0603399655614418,0.6555482214163288,1.6899115026887306,0.7108606884351478
2001,SGP,1,3.92336076702013,5.669888825380629,4.898687308465809,3.050360258640495,1.3906173580515102,2.571462559128571,0.3607219156139305
2001,THA,1,6.14903605210036,3.877347151087711,4.494655047083986,5.160570462984057,1.4989195777766864,2.5495521839444493,0.6933680898680472
2001,USA,1,1.70044733078285,2.8151583386141303,1.6169067262524293,1.2425806309802288,0.6728577183329397,1.6370962222884669,0.24528277417901634
2001,VNM,1,6.32082099160833,7.20308253480437,1.1663745276150195,0.7783854306026577,0.5268084740018001,1.3589195360039308,0.22470063137713153
2001,BGD,2,4.73956739963045,4.806536788928571,0.4797517479220825,0.004484899102963301,0.11583899153942938,0.19419496178244933,0.44449127700364327
