origin,iso,h,model,actual,pred,err,sq,abs
2001,BGD,1,random_walk,3.83312393993225,5.07728777526728,1.24416383533503,1.5479436491555716,1.24416383533503
2001,BGD,2,random_walk,4.73956739963045,5.07728777526728,0.3377203756368301,0.11405505212028164,0.3377203756368301
2001,BGD,3,random_walk,5.23953291029852,5.07728777526728,-0.16224513503123994,0.02632348384130528,0.16224513503123994
2001,BGD,4,random_walk,6.53594493875502,5.07728777526728,-1.4586571634877403,2.1276807205941006,1.4586571634877403
2001,BGD,5,random_walk,6.67190498576788,5.07728777526728,-1.5946172105006005,2.5428040480247165,1.5946172105006005
2001,CHN,1,random_walk,9.23604870383861,8.32404695347056,-0.9120017503680504,0.8317471926743878,0.9120017503680504
2001,CHN,2,random_walk,10.1138119025242,8.32404695347056,-1.7897649490536391,3.2032585728609755,1.7897649490536391
2001,CHN,3,random_walk,10.1404291872206,8.32404695347056,-1.8163822337500388,3.2992444190827808,1.8163822337500388
2001,CHN,4,random_walk,11.4535130030645,8.32404695347056,-3.1294660495939404,9.793557755561103,3.1294660495939404
2001,CHN,5,random_walk,12.6752842281595,8.32404695347056,-4.351237274688939,18.93326582064243,4.351237274688939
2001,DEU,1,random_walk,-0.228255715793637,1.63614170690956,1.864397422703197,3.475977749782323,1.864397422703197
2001,DEU,2,random_walk,-0.529801394291297,1.63614170690956,2.165943101200857,4.691309517639586,2.165943101200857
2001,DEU,3,random_walk,1.16208684507278,1.63614170690956,0.47405486183678014,0.22472801203108872,0.47405486183678014
2001,DEU,4,random_walk,0.885485292551564,1.63614170690956,0.750656414357996,0.5634850524168034,0.750656414357996
2001,DEU,5,random_walk,3.86668241523209,1.63614170690956,-2.23054070832253,4.975311851483974,2.23054070832253
2001,FRA,1,random_walk,1.06775027069419,1.89946701186636,0.83171674117217,0.6917527375460544,0.83171674117217
2001,FRA,2,random_walk,0.967827182558352,1.89946701186636,0.9316398293080079,0.8679527715530542,0.9316398293080079
2001,FRA,3,random_walk,2.86825052501032,1.89946701186636,-0.9687835131439599,0.9385414953395532,0.9687835131439599
2001,FRA,4,random_walk,1.88856584109286,1.89946701186636,0.010901170773499835,0.000118835524233007,0.010901170773499835
2001,FRA,5,random_walk,2.71406448755236,1.89946701186636,-0.8145974756859999,0.6635690473940032,0.8145974756859999
2001,GBR,1,random_walk,1.70902736258567,2.39102229602824,0.6819949334425701,0.46511708924133566,0.6819949334425701
2001,GBR,2,random_walk,3.21851612669614,2.39102229602824,-0.8274938306678998,0.6847460397934348,0.8274938306678998
2001,GBR,3,random_walk,2.32601853325993,2.39102229602824,0.06500376276831021,0.004225489174038753,0.06500376276831021
2001,GBR,4,random_walk,2.7906547174688,2.39102229602824,-0.39963242144055977,0.15970607226644518,0.39963242144055977
2001,GBR,5,random_walk,2.18982132415704,2.39102229602824,0.2012009718712,0.040481831081915415,0.2012009718712
2001,IDN,1,random_walk,4.49947539085764,3.64346644721492,-0.8560089436427201,0.7327513115963254,0.8560089436427201
2001,IDN,2,random_walk,4.78036912167654,3.64346644721492,-1.1369026744616204,1.2925476911979852,1.1369026744616204
2001,IDN,3,random_walk,5.03087394501685,3.64346644721492,-1.3874074978019304,1.9248995649570135,1.3874074978019304
2001,IDN,4,random_walk,5.69257130383384,3.64346644721492,-2.04910485661892,4.198830713419245,2.04910485661892
2001,IDN,5,random_walk,5.50095178520348,3.64346644721492,-1.8574853379885599,3.4502517808424744,1.8574853379885599
2001,IND,1,random_walk,3.80397532120038,4.82396626397303,1.0199909427726497,1.0403815233382387,1.0199909427726497
2001,IND,2,random_walk,7.86038147545045,4.82396626397303,-3.0364152114774203,9.219817336491467,3.0364152114774203
2001,IND,3,random_walk,7.92293661307978,4.82396626397303,-3.09897034910675,9.603617224642813,3.09897034910675
2001,IND,4,random_walk,7.92343062131789,4.82396626397303,-3.0994643573448606,9.60667930245119,3.0994643573448606
2001,IND,5,random_walk,8.06073257305057,4.82396626397303,-3.2367663090775407,10.476656139579445,3.2367663090775407
2001,JPN,1,random_walk,0.0849888050363319,0.284608556379041,0.1996197513427091,0.03984804512612501,0.1996197513427091
2001,JPN,2,random_walk,1.38010935830795,0.284608556379041,-1.095500801928909,1.2001220070268825,1.095500801928909
2001,JPN,3,random_walk,2.11294823723127,0.284608556379041,-1.828339680852229,3.3428259885788307,1.828339680852229
2001,JPN,4,random_walk,1.8482813374834,0.284608556379041,-1.563672781104359,2.4450725663666404,1.563672781104359
2001,JPN,5,random_walk,1.54630843078741,0.284608556379041,-1.261699874408369,1.591886573082094,1.261699874408369
2001,KOR,1,random_walk,7.74399895319569,4.72593560322356,-3.01806334997213,9.108706384444996,3.01806334997213
2001,KOR,2,random_walk,3.07472661826947,4.72593560322356,1.6512089849540899,2.726491111993116,1.6512089849540899
2001,KOR,3,random_walk,5.1836368597334,4.72593560322356,-0.45770125650984017,0.2094904402106865,0.45770125650984017
2001,KOR,4,random_walk,4.35823667337156,4.72593560322356,0.3676989298519997,0.1352025030143058,0.3676989298519997
2001,KOR,5,random_walk,5.24500550580342,4.72593560322356,-0.5190699025798606,0.269433563764266,0.5190699025798606
